X,Y,Z,MAO,LETRA
364.439,386.725,-412.457,D,1
306.705,425.374,-378.469,D,1
344.247,383.489,-437.142,D,1
399.375,431.519,-362.04,D,1
269.789,465.05,-364.833,D,1
353.748,443.859,-369.813,D,1
276.257,434.684,-451.924,D,1
269.196,419.121,-307.235,D,1
384.942,386.13,-367.11,D,1
319.86,391.311,-442.16,D,1
578.881,360.129,-275.638,E,1
576.679,386.556,-381.746,E,1
560.251,383.035,-339.595,E,1
637.829,393.83,-304.641,E,1
606.918,436.437,-310.222,E,1
575.823,392.566,-358.213,E,1
579.262,403.795,-316.01,E,1
565.712,331.52,-411.867,E,1
600.457,395.351,-344.425,E,1
585.477,314.893,-348.166,E,1
